timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749038361754,2732,HTTP Request,200,OK,Thread Group 1-4,text,true,,1238829,114,64,64,https://bobobobo.com/,97,0,0
1749038360513,4141,HTTP Request,200,OK,Thread Group 1-25,text,true,,1238827,114,66,66,https://bobobobo.com/,177,0,63
1749038362320,2382,HTTP Request,200,OK,Thread Group 1-3,text,true,,1238812,114,66,66,https://bobobobo.com/,132,0,0
1749038360211,4614,HTTP Request,200,OK,Thread Group 1-22,text,true,,1238831,114,68,68,https://bobobobo.com/,211,0,122
1749038362351,2478,HTTP Request,200,OK,Thread Group 1-8,text,true,,1238814,114,68,68,https://bobobobo.com/,229,0,0
1749038359812,5048,HTTP Request,200,OK,Thread Group 1-18,text,true,,1238813,114,68,68,https://bobobobo.com/,475,0,341
1749038363115,1845,HTTP Request,200,OK,Thread Group 1-13,text,true,,1238830,114,69,69,https://bobobobo.com/,87,0,0
1749038363302,1838,HTTP Request,200,OK,Thread Group 1-6,text,true,,1238841,114,71,71,https://bobobobo.com/,483,0,0
1749038360612,4656,HTTP Request,200,OK,Thread Group 1-26,text,true,,1238822,114,72,72,https://bobobobo.com/,212,0,89
1749038362675,2903,HTTP Request,200,OK,Thread Group 1-21,text,true,,1238826,114,75,75,https://bobobobo.com/,219,0,0
1749038361612,3968,HTTP Request,200,OK,Thread Group 1-36,text,true,,1238829,114,75,75,https://bobobobo.com/,169,0,95
1749038364096,1516,HTTP Request,200,OK,Thread Group 1-43,text,true,,1238821,114,76,76,https://bobobobo.com/,180,0,0
1749038363833,2037,HTTP Request,200,OK,Thread Group 1-11,text,true,,1238825,114,78,78,https://bobobobo.com/,155,0,0
1749038362610,3370,HTTP Request,200,OK,Thread Group 1-46,text,true,,1238796,114,79,79,https://bobobobo.com/,247,0,130
1749038361311,4702,HTTP Request,200,OK,Thread Group 1-33,text,true,,1238821,114,80,80,https://bobobobo.com/,184,0,99
1749038363815,2319,HTTP Request,200,OK,Thread Group 1-15,text,true,,1238825,114,81,81,https://bobobobo.com/,129,0,0
1749038363841,2296,HTTP Request,200,OK,Thread Group 1-2,text,true,,1238834,114,81,81,https://bobobobo.com/,154,0,0
1749038363795,2769,HTTP Request,200,OK,Thread Group 1-14,text,true,,1238822,114,85,85,https://bobobobo.com/,134,0,0
1749038361212,5458,HTTP Request,200,OK,Thread Group 1-32,text,true,,1238822,114,86,86,https://bobobobo.com/,186,0,105
1749038362712,3981,HTTP Request,200,OK,Thread Group 1-47,text,true,,1238830,114,86,86,https://bobobobo.com/,197,0,117
1749038364379,2326,HTTP Request,200,OK,Thread Group 1-19,text,true,,1238826,114,86,86,https://bobobobo.com/,140,0,0
1749038363062,3659,HTTP Request,200,OK,Thread Group 1-10,text,true,,1238824,114,87,87,https://bobobobo.com/,206,0,0
1749038360710,6017,HTTP Request,200,OK,Thread Group 1-27,text,true,,1238823,114,87,87,https://bobobobo.com/,204,0,95
1749038363136,3606,HTTP Request,200,OK,Thread Group 1-24,text,true,,1238822,114,87,87,https://bobobobo.com/,282,0,0
1749038362813,4058,HTTP Request,200,OK,Thread Group 1-48,text,true,,1238814,114,88,88,https://bobobobo.com/,166,0,70
1749038362411,4504,HTTP Request,200,OK,Thread Group 1-44,text,true,,1238852,114,89,89,https://bobobobo.com/,471,0,375
